Name	MarketCap	IPOyear	Sector	Industry	CapBucket_Label
Continental Resources, Inc.	12419753931.0	2007.0	Energy	Oil & Gas Production	Large
Controladora Vuela Compania de Aviacion, S.A.B. de C.V.	1306332781.0	2013.0	Transportation	Air Freight/Delivery Services	Small
Convergys Corporation	2179955703.0	1998.0	Technology	EDP Services	Mid
Cooper Companies, Inc. (The)	12024141387.0		Health Care	Ophthalmic Goods	Large
Cooper Tire & Rubber Company	1722245448.0		Consumer Durables	Automotive Aftermarket	Small
Cooper-Standard Holdings Inc.	1784410475.0		Capital Goods	Auto Parts:O.E.M.	Small
Copa Holdings, S.A.	5152157819.0	2005.0	Transportation	Air Freight/Delivery Services	Mid
Core Laboratories N.V.	3860759957.0	1995.0	Energy	Oilfield Services/Equipment	Mid
CoreCivic, Inc.	3129382197.0		Consumer Services	Real Estate Investment Trusts	Mid
CoreLogic, Inc.	3944803886.0		Technology	EDP Services	Mid
CorEnergy Infrastructure Trust, Inc.	388625734.4		Consumer Services	Real Estate Investment Trusts	Small
CoreSite Realty Corporation	4058567074.0	2010.0	Consumer Services	Real Estate Investment Trusts	Mid
Corning Incorporated	25867179621.0		Basic Industries	Telecommunications Equipment	Large
Corporate Office Properties Trust	3278426980.0		Consumer Services	Real Estate Investment Trusts	Mid
Cosan Limited	2125467790.0		Consumer Non-Durables	Specialty Foods	Mid
Costamare Inc.	667739822.4	2010.0	Transportation	Marine Transportation	Small
Cotiviti Holdings, Inc.	3247079239.0	2016.0	Miscellaneous	Business Services	Mid
Cott Corporation	2115912557.0		Consumer Non-Durables	Beverages (Production/Distribution)	Mid
Coty Inc.	12375788506.0	2013.0	Consumer Non-Durables	Package Goods/Cosmetics	Large
Cousins Properties Incorporated	3859731893.0		Consumer Services	Real Estate Investment Trusts	Mid
Covanta Holding Corporation	1867103771.0		Basic Industries	Electric Utilities: Central	Small
CPB Inc.	881518855.5		Finance	Major Banks	Small
CPFL Energia S.A.	8708260652.0	2004.0	Public Utilities	Electric Utilities: Central	Mid
Crane Company	4388390190.0		Capital Goods	Metal Fabrications	Mid
Credicorp Ltd.	19021748280.0		Finance	Commercial Banks	Large
Credit Suisse Group	37379861571.0		Finance	Investment Bankers/Brokers/Service	Large
Crescent Point Energy Corporation	3561792085.0		Energy	Oil & Gas Production	Mid
Crestwood Equity Partners LP	1714023696.0		Consumer Services	Other Consumer Services	Small
CRH PLC	28833709709.0		Capital Goods	Building Materials	Large
Cross Timbers Royalty Trust	86640000.0	1992.0	Energy	Oil & Gas Production	Micro
CrossAmerica Partners LP	898670064.2	2012.0	Energy	Oil Refining/Marketing	Small
Crown Castle International Corporation	43580283402.0		Consumer Services	Real Estate Investment Trusts	Large
Crown Holdings, Inc.	7841186464.0		Consumer Durables	Containers/Packaging	Mid
CryoLife, Inc.	683971845.2		Health Care	Medical/Dental Instruments	Small
CSRA Inc.	5118400277.0	2015.0	Technology	EDP Services	Mid
CSS Industries, Inc.	244730142.5		Consumer Services	Consumer: Greeting Cards	Micro
CTS Corporation	737706502.4		Technology	Electrical Products	Small
CubeSmart	4463496261.0		Consumer Services	Real Estate Investment Trusts	Mid
Cubic Corporation	1161034487.0		Capital Goods	Industrial Machinery/Components	Small
Cullen/Frost Bankers, Inc.	5372180890.0		Finance	Major Banks	Mid
Culp, Inc.	361415727.1		Basic Industries	Textiles	Small
Cummins Inc.	26448855736.0		Energy	Industrial Machinery/Components	Large
Curtiss-Wright Corporation	4270342406.0		Technology	Industrial Machinery/Components	Mid
Cushing Energy Income Fund (The)	19577162.99	2012.0	n/a	n/a	Nano
Cushing Renaissance Fund (The)	100276570.4	2012.0	n/a	n/a	Micro
Customers Bancorp, Inc	875827344.0		Finance	Major Banks	Small
CVR Energy Inc.	1873814059.0	2007.0	Energy	Integrated oil Companies	Small
CVR Partners, LP	294535729.8	2011.0	Basic Industries	Agricultural Chemicals	Micro
CVR Refining, LP	1232460000.0	2013.0	Energy	Integrated oil Companies	Small
CVS Health Corporation	77645213925.0		Health Care	Medical/Nursing Services	Large
Cypress Energy Partners, L.P.	87338535.9	2014.0	Energy	Oilfield Services/Equipment	Micro
CYS Investments, Inc.	1321755408.0	2009.0	Consumer Services	Real Estate Investment Trusts	Small
D.R. Horton, Inc.	13264590760.0		Capital Goods	Homebuilding	Large
D/B/A Chubb Limited New	65698133712.0		Finance	Property-Casualty Insurers	Large
Dana Incorporated	3436231890.0		Capital Goods	Auto Parts:O.E.M.	Mid
Danaher Corporation	57061826990.0		Capital Goods	Industrial Machinery/Components	Large
Danaos Corporation	181168930.8	2006.0	Transportation	Marine Transportation	Micro
DAQO New Energy Corp.	263501927.0	2010.0	Technology	Semiconductors	Micro
Darden Restaurants, Inc.	10389119059.0		Consumer Services	Restaurants	Large
Darling Ingredients Inc.	2850216253.0		Consumer Non-Durables	Packaged Foods	Mid
DaVita Inc.	10997824000.0		Health Care	Hospital/Nursing Management	Large
DCP Midstream LP	4479630773.0		Public Utilities	Natural Gas Distribution	Mid
DCT Industrial Trust Inc	5364101853.0	2006.0	Consumer Services	Real Estate Investment Trusts	Mid
DDR Corp.	3560324783.0	1993.0	Consumer Services	Real Estate Investment Trusts	Mid
Dean Foods Company	994612003.6		Consumer Non-Durables	Packaged Foods	Small
Deckers Outdoor Corporation	2009513336.0	1993.0	Consumer Non-Durables	Shoe Manufacturing	Mid
Deere & Company	36940873814.0		Capital Goods	Industrial Machinery/Components	Large
Delaware Enhanced Global Dividend	181697967.6	2007.0	n/a	n/a	Micro
Delaware Investments Dividend & Income Fund, Inc.	79572445.65	1993.0	n/a	n/a	Micro
Delek Logistics Partners, L.P.	741806365.7	2012.0	Energy	Natural Gas Distribution	Small
Delek US Holdings, Inc.	2049865325.0	2017.0	Energy	Integrated oil Companies	Mid
Dell Technologies Inc.	15079124511.0		Technology	Computer Manufacturing	Large
Delphi Automotive plc	25363537788.0	2011.0	Capital Goods	Auto Parts:O.E.M.	Large
Delta Air Lines, Inc.	33906335109.0		Transportation	Air Freight/Delivery Services	Large
Deltic Timber Corporation	932546026.2		Basic Industries	Forest Products	Small
Deluxe Corporation	3284222222.0		Consumer Durables	Publishing	Mid
Denbury Resources Inc.	407076386.3		Energy	Oil & Gas Production	Small
Deutsche Bank AG	33067054000.0		Finance	Major Banks	Large
Devon Energy Corporation	16272576000.0		Energy	Oil & Gas Production	Large
DHI Group, Inc.	93257624.95	2007.0	Miscellaneous	Business Services	Micro
DHT Holdings, Inc.	522414583.7	2005.0	Transportation	Marine Transportation	Small
Diageo plc	91544727761.0		Consumer Non-Durables	Beverages (Production/Distribution)	Large
Diamond Offshore Drilling, Inc.	1568504507.0	1995.0	Energy	Oil & Gas Production	Small
Diamondrock Hospitality Company	2179320924.0	2005.0	Consumer Services	Real Estate Investment Trusts	Mid
Diana Shipping inc.	419217517.2	2005.0	Transportation	Marine Transportation	Small
Dick&#39;s Sporting Goods Inc	2865397558.0	2002.0	Consumer Services	Other Specialty Stores	Mid
Diebold Nixdorf Incorporated	1513993064.0		Miscellaneous	Office Equipment/Supplies/Services	Small
Digital Realty Trust, Inc.	19148767319.0	2004.0	Consumer Services	Real Estate Investment Trusts	Large
DigitalGlobe, Inc	2138318243.0	2009.0	Consumer Services	Telecommunications Equipment	Mid
Dillard&#39;s, Inc.	1767825000.0		Consumer Services	Department/Specialty Retail Stores	Small
DineEquity, Inc	718512175.8		Consumer Services	Restaurants	Small
Diplomat Pharmacy, Inc.	1127000127.0	2014.0	Health Care	Medical/Nursing Services	Small
Discover Financial Services	21957594374.0		Finance	Finance: Consumer Services	Large
Diversified Real Asset Income Fund	319966986.3		n/a	n/a	Small
Dividend and Income Fund	131943228.7		n/a	n/a	Micro
Dolby Laboratories	5083516072.0	2005.0	Miscellaneous	Multi-Sector Companies	Mid
Dollar General Corporation	21041293841.0	2009.0	Consumer Services	Department/Specialty Retail Stores	Large
Dominion Diamond Corporation	1154986780.0		Basic Industries	Precious Metals	Small
Dominion Energy Midstream Partners, LP	2817906390.0	2014.0	Public Utilities	Natural Gas Distribution	Mid
Dominion Energy, Inc.	50648624815.0		Public Utilities	Electric Utilities: Central	Large
Domino&#39;s Pizza Inc	8634335143.0	2004.0	Consumer Non-Durables	Food Distributors	Mid
Domtar Corporation	2603944226.0		Basic Industries	Paper	Mid
Donaldson Company, Inc.	6126934868.0		Capital Goods	Pollution Control Equipment	Mid
Donnelley Financial Solutions, Inc.	713429000.0	2016.0	Consumer Services	Other Consumer Services	Small
Dorian LPG Ltd.	376369321.9	2014.0	Transportation	Marine Transportation	Small
DoubleLine Income Solutions Fund	2109090191.0	2013.0	n/a	n/a	Mid
DoubleLine Opportunistic Credit Fund	367057486.9	2012.0	n/a	n/a	Small
Douglas Dynamics, Inc.	791810939.9	2010.0	Capital Goods	Construction/Ag Equipment/Trucks	Small
Douglas Emmett, Inc.	6262553516.0	2006.0	Consumer Services	Real Estate Investment Trusts	Mid
Dover Corporation	13196922464.0		Technology	Industrial Machinery/Components	Large
Dover Downs Gaming & Entertainment Inc	33126109.89		Consumer Services	Services-Misc. Amusement & Recreation	Nano
Dover Motorsports, Inc.	77471427.6	1996.0	Consumer Services	Services-Misc. Amusement & Recreation	Micro
Dow Chemical Company (The)	79401575957.0		Basic Industries	Major Chemicals	Large
Dr Pepper Snapple Group, Inc	16498786693.0		Consumer Non-Durables	Beverages (Production/Distribution)	Large
Dr. Reddy&#39;s Laboratories Ltd	5229394260.0		Health Care	Major Pharmaceuticals	Mid
DRDGOLD Limited	144097539.8		Basic Industries	Precious Metals	Micro
Dreyfus High Yield Strategies Fund	255931061.8	1998.0	n/a	n/a	Micro
Dreyfus Municipal Bond Infrastructure Fund, Inc.	245399446.4	2013.0	n/a	n/a	Micro
Dreyfus Strategic Municipal Bond Fund, Inc.	423986578.1	1989.0	n/a	n/a	Small
Dreyfus Strategic Municipals, Inc.	556050578.1	1987.0	n/a	n/a	Small
Dril-Quip, Inc.	1411360757.0	1997.0	Energy	Metal Fabrications	Small
Drive Shack Inc.	174694461.8		Consumer Services	Real Estate Investment Trusts	Micro
DST Systems, Inc.	3061142367.0	1995.0	Technology	EDP Services	Mid
DSW Inc.	1510566934.0	2005.0	Consumer Services	Clothing/Shoe/Accessory Stores	Small
DTE Energy Company	20086699041.0		Public Utilities	Electric Utilities: Central	Large
Ducommun Incorporated	313772825.5		Capital Goods	Military/Government/Technical	Small
Duff & Phelps Global Utility Income Fund Inc.	623566010.6	2011.0	n/a	n/a	Small
Duff & Phelps Select Energy MLP Fund Inc.	168926310.5	2014.0	n/a	n/a	Micro
Duff & Phelps Utilities Income, Inc.	3241613424.0	1987.0	n/a	n/a	Mid
Duff & Phelps Utilities Tax-Free Income, Inc.	124572414.7	1991.0	n/a	n/a	Micro
Duff & Phelps Utility & Corporate Bond Trust, Inc.	255150658.2	1993.0	n/a	n/a	Micro
Duke Energy Corporation	61091669428.0		Public Utilities	Power Generation	Large
Duke Realty Corporation	10483422895.0		Consumer Services	Real Estate Investment Trusts	Large
Dun & Bradstreet Corporation (The)	4056428638.0		Finance	Finance: Consumer Services	Mid
Dupont Fabros Technology, Inc.	5052688496.0	2007.0	Finance	Real Estate	Mid
DWS High Income Opportunities Fund, Inc.	227113295.2	2006.0	n/a	n/a	Micro
DXC Technology Company	24036336174.0		Technology	EDP Services	Large
Dycom Industries, Inc.	2364164240.0		Basic Industries	Water Supply	Mid
Dynagas LNG Partners LP	504312900.0		Consumer Services	Marine Transportation	Small
Dynegy Inc.	1262492099.0		Public Utilities	Electric Utilities: Central	Small
Dynex Capital, Inc.	349563047.2		Consumer Services	Real Estate Investment Trusts	Small
E.I. du Pont de Nemours and Company	72192781140.0		Basic Industries	Major Chemicals	Large
e.l.f. Beauty, Inc.	936295082.3	2016.0	Consumer Non-Durables	Package Goods/Cosmetics	Small
E.W. Scripps Company (The)	1514550179.0		Consumer Services	Broadcasting	Small
Eagle Growth and Income Opportunities Fund	118556246.3	2015.0	n/a	n/a	Micro
Eagle Materials Inc	4734370855.0		Capital Goods	Building Materials	Mid
Eagle Point Credit Company Inc.	368326814.9	2014.0	n/a	n/a	Small
Earthstone Energy, Inc.	572620809.7		Energy	Oil & Gas Production	Small
Easterly Government Properties, Inc.	768843721.0	2015.0	Consumer Services	Real Estate Investment Trusts	Small
EastGroup Properties, Inc.	2971979199.0		Consumer Services	Real Estate Investment Trusts	Mid
Eastman Chemical Company	12423382654.0		Basic Industries	Major Chemicals	Large
Eastman Kodak Company	318669232.5		Miscellaneous	Industrial Machinery/Components	Small
Eaton Corporation, PLC	31603040000.0		Technology	Industrial Machinery/Components	Large
Eaton Vance Corporation	977392060.7	2005.0	n/a	n/a	Small
Eaton Vance Corporation	1246650280.0	2005.0	n/a	n/a	Small
Eaton Vance Corporation	5467658107.0		Finance	Investment Managers	Mid
Eaton Vance Enhance Equity Income Fund	522568473.7	2004.0	n/a	n/a	Small
Eaton Vance Enhanced Equity Income Fund II	716733049.9	2005.0	n/a	n/a	Small
Eaton Vance Floating Rate Income Trust	585597606.1	2004.0	n/a	n/a	Small
Eaton Vance Floating-Rate 2022 Target Term Trust	210000000.0	2017.0	n/a	n/a	Micro
Eaton vance Floating-Rate Income Plus Fund	126190541.0	2013.0	n/a	n/a	Micro
Eaton Vance High Income 2021 Target Term Trust	217828754.2	2016.0	n/a	n/a	Micro
Eaton Vance Municipal Income 2028 Term Trust	223908684.5	2013.0	n/a	n/a	Micro
Eaton Vance Municipal Income Trust	341266236.9	2009.0	n/a	n/a	Small
Eaton Vance Municipal Income Trust	308694825.1	1999.0	n/a	n/a	Small
Eaton Vance Risk-Managed Diversified Equity Income Fund	593377176.3	2007.0	n/a	n/a	Small
Eaton Vance Senior Floating-Rate Fund	543144133.6	2003.0	n/a	n/a	Small
Eaton Vance Senior Income Trust	250676938.3	1998.0	n/a	n/a	Micro
Eaton Vance Short Diversified Income Fund	257122970.5	2005.0	n/a	n/a	Micro
Eaton Vance Tax Advantaged Dividend Income Fund	1576168876.0	2003.0	n/a	n/a	Small
Eaton Vance Tax-Advantage Global Dividend Opp	343642328.2	2004.0	n/a	n/a	Small
Eaton Vance Tax-Advantaged Bond	112497134.2	2010.0	n/a	n/a	Micro
Eaton Vance Tax-Advantaged Global Dividend Income Fund	1270398563.0	2004.0	n/a	n/a	Small
Eaton Vance Tax-Managed Buy-Write Income Fund	409272276.6	2005.0	n/a	n/a	Small
Eaton Vance Tax-Managed Diversified Equity Income Fund	1678258591.0	2006.0	n/a	n/a	Small
Eaton Vance Tax-Managed Global Diversified Equity Income Fund	2767384532.0	2007.0	n/a	n/a	Mid
ECA Marcellus Trust I	38731000.0	2010.0	Energy	Oil & Gas Production	Nano
Eclipse Resources Corporation	585906725.7	2014.0	Energy	Oil & Gas Production	Small
Ecolab Inc.	37903162805.0		Basic Industries	Package Goods/Cosmetics	Large
Ecopetrol S.A.	18687537732.0		Energy	Oil & Gas Production	Large
Edison International	26162639842.0		Public Utilities	Electric Utilities: Central	Large
Education Realty Trust Inc.	2804889190.0	2005.0	Consumer Services	Real Estate Investment Trusts	Mid
Edwards Lifesciences Corporation	23795398401.0		Health Care	Industrial Specialties	Large
eHi Car Services Limited	641548381.3	2014.0	Consumer Services	Rental/Leasing Companies	Small
El Paso Electric Company	2234573305.0		Public Utilities	Electric Utilities: Central	Mid
Eldorado Gold Corporation	1580081253.0		Basic Industries	Precious Metals	Small
Elevate Credit, Inc.	263085814.6	2017.0	Finance	Finance: Consumer Services	Micro
Eli Lilly and Company	88618600103.0		Health Care	Major Pharmaceuticals	Large
Ellie Mae, Inc.	2858228074.0	2011.0	Technology	Computer Software: Prepackaged Software	Mid
Ellington Financial LLC	503205962.0	2010.0	Finance	Real Estate	Small
Ellington Residential Mortgage REIT	191739126.5	2013.0	Consumer Services	Real Estate Investment Trusts	Micro
Embraer-Empresa Brasileira de Aeronautica	4145566959.0	2000.0	Capital Goods	Aerospace	Mid
EMCOR Group, Inc.	3838912798.0		Capital Goods	Engineering & Construction	Mid
Emerald Expositions Events, Inc.	1560289693.0	2017.0	Miscellaneous	Business Services	Small
Emerge Energy Services LP	194774051.7	2013.0	Basic Industries	Mining & Quarrying of Nonmetallic Minerals (No Fuels)	Micro
Emergent Biosolutions, Inc.	1487737569.0	2006.0	Health Care	Major Pharmaceuticals	Small
Emerson Electric Company	37524350086.0		Energy	Consumer Electronics/Appliances	Large
Empire State Realty Trust, Inc.	6475783625.0	2013.0	Consumer Services	Real Estate Investment Trusts	Mid
Employers Holdings Inc	1359809040.0	2007.0	Finance	Property-Casualty Insurers	Small
Empresa Distribuidora Y Comercializadora Norte S.A. (Edenor)	1599440024.0	2007.0	Public Utilities	Electric Utilities: Central	Small
Enable Midstream Partners, LP	6306688379.0	2014.0	Public Utilities	Natural Gas Distribution	Mid
Enbridge Energy Management LLC	1236480959.0	2002.0	Energy	Oil & Gas Production	Small
Enbridge Energy, L.P.	7492107355.0		Energy	Natural Gas Distribution	Mid
Enbridge Inc	65012852856.0		Energy	Natural Gas Distribution	Large
Encana Corporation	8787472188.0		Energy	Oil & Gas Production	Mid
Endeavour Silver Corporation	295698871.2		Basic Industries	Precious Metals	Micro
Enduro Royalty Trust	117150000.0	2011.0	Energy	Oil & Gas Production	Micro
Enel Americas S.A.	12225922111.0		Public Utilities	Electric Utilities: Central	Large
Enel Chile S.A.	5734035857.0	2016.0	Public Utilities	Electric Utilities: Central	Mid
Enel Generacion Chile S.A.	6889473839.0		Public Utilities	Electric Utilities: Central	Mid
Energen Corporation	4840419315.0		Energy	Oil & Gas Production	Mid
Energizer Holdings, Inc.	2690408293.0	2015.0	Miscellaneous	Industrial Machinery/Components	Mid
Energizer Holdings, Inc.	4274558065.0		Consumer Non-Durables	Package Goods/Cosmetics	Mid
Energy Transfer Equity, L.P.	18281394408.0	2006.0	Public Utilities	Natural Gas Distribution	Large
Energy Transfer Partners, L.P.	26881615548.0		Energy	Natural Gas Distribution	Large
Enerplus Corporation	2062938611.0		Energy	Oil & Gas Production	Mid
Enersys	2744695366.0	2004.0	Consumer Non-Durables	Telecommunications Equipment	Mid
Engility Holdings, Inc.	1129663177.0	2015.0	Consumer Services	Military/Government/Technical	Small
ENI S.p.A.	56965855048.0		Energy	Oil & Gas Production	Large
EnLink Midstream Partners, LP	5469666826.0		Public Utilities	Natural Gas Distribution	Mid
EnLink Midstream, LLC	3024621066.0		Public Utilities	Natural Gas Distribution	Mid
Ennis, Inc.	484194516.8		Consumer Services	Office Equipment/Supplies/Services	Small
Enova International, Inc.	380621267.4	2014.0	Finance	Finance: Consumer Services	Small
EnPro Industries	1487301012.0		Basic Industries	Metal Fabrications	Small
ENSCO plc	1324486012.0		Energy	Oil & Gas Production	Small
Entercom Communications Corporation	415825674.6	1999.0	Consumer Services	Broadcasting	Small
Entergy Corporation	14250299267.0		Public Utilities	Electric Utilities: Central	Large
Enterprise Products Partners L.P.	55228943001.0		Public Utilities	Natural Gas Distribution	Large
Entravision Communications Corporation	510866491.2	2000.0	Consumer Services	Broadcasting	Small
Envestnet, Inc	1906066260.0	2010.0	Miscellaneous	Business Services	Small
Envision Healthcare Corporation	6224986123.0	2016.0	Health Care	Medical/Nursing Services	Mid
Enviva Partners, LP	765824641.8	2015.0	Basic Industries	Forest Products	Small
Enzo Biochem, Inc.	518833960.6		Health Care	Medical Specialities	Small
EOG Resources, Inc.	48315084117.0		Energy	Oil & Gas Production	Large
EP Energy Corporation	698321223.6	2014.0	Energy	Oil & Gas Production	Small
EPAM Systems, Inc.	4179807158.0	2012.0	Technology	EDP Services	Mid
EPR Properties	5042891346.0	1997.0	Consumer Services	Real Estate Investment Trusts	Mid
EQT Corporation	10708142060.0		Energy	Oil & Gas Production	Large
EQT GP Holdings, LP	7718785000.0	2015.0	Public Utilities	Natural Gas Distribution	Mid
EQT Midstream Partners, LP	6021068958.0	2012.0	Public Utilities	Natural Gas Distribution	Mid
Equifax, Inc.	17023080223.0		Finance	Finance: Consumer Services	Large
Equity Commonwealth	3774800856.0		Consumer Services	Real Estate Investment Trusts	Mid
Equity Lifestyle Properties, Inc.	7728665520.0		Consumer Services	Real Estate Investment Trusts	Mid
Equity Residential	24723855329.0		Consumer Services	Real Estate Investment Trusts	Large
Equus Total Return, Inc.	31767643.1		n/a	n/a	Nano
Era Group, Inc.	190664024.3		Transportation	Transportation Services	Micro
Eros International PLC	613676757.5	2013.0	Consumer Services	Movies/Entertainment	Small
ESCO Technologies Inc.	1393701248.0		Consumer Durables	Telecommunications Equipment	Small
Essent Group Ltd.	3553814762.0	2013.0	Finance	Property-Casualty Insurers	Mid
Essex Property Trust, Inc.	17576365118.0	1994.0	Consumer Services	Real Estate Investment Trusts	Large
Estee Lauder Companies, Inc. (The)	38878246809.0	1995.0	Consumer Non-Durables	Package Goods/Cosmetics	Large
Esterline Technologies Corporation	2519390177.0		Capital Goods	Industrial Machinery/Components	Mid
Ethan Allen Interiors Inc.	784990349.0	1993.0	Consumer Durables	Home Furnishings	Small
Euronav NV	1202027565.0	2015.0	Transportation	Marine Transportation	Small
European Equity Fund, Inc. (The)	77213970.0		n/a	n/a	Micro
Evercore Inc.	2944011075.0	2006.0	Finance	Investment Managers	Mid
Everest Re Group, Ltd.	10337803342.0		Finance	Property-Casualty Insurers	Large
Everi Holdings Inc.	508234420.8		Finance	Finance: Consumer Services	Small
Eversource Energy	20039858498.0		Public Utilities	Electric Utilities: Central	Large
Evertec, Inc.	1342673208.0	2013.0	Technology	EDP Services	Small
Evolent Health, Inc	1279179422.0	2015.0	Consumer Services	Other Consumer Services	Small
EXCO Resources NL	34857549.72	2006.0	Energy	Oil & Gas Production	Nano
Exelon Corporation	36329726060.0		Public Utilities	Power Generation	Large
Express, Inc.	510592805.3	2010.0	Consumer Services	Clothing/Shoe/Accessory Stores	Small
Extended Stay America, Inc.	3646869391.0	2013.0	Consumer Services	Hotels/Resorts	Mid
Exterran Corporation	977878583.9	2015.0	Technology	Diversified Commercial Services	Small
Extra Space Storage Inc	9776348845.0	2004.0	Consumer Services	Real Estate Investment Trusts	Mid
Exxon Mobil Corporation	3.22444e+11		Energy	Integrated oil Companies	Mega
F.N.B. Corporation	4108222326.0		Finance	Major Banks	Mid
Fabrinet	1460988821.0	2010.0	Public Utilities	Telecommunications Equipment	Small
FactSet Research Systems Inc.	6155703110.0	1996.0	Technology	Computer Software: Programming, Data Processing	Mid
Fair Isaac Corporation	4264327395.0		Miscellaneous	Business Services	Mid
Fairmount Santrol Holdings Inc.	672241719.0	2014.0	Basic Industries	Mining & Quarrying of Nonmetallic Minerals (No Fuels)	Small
Fang Holdings Limited	1594981734.0	2010.0	Technology	EDP Services	Small
Farmland Partners Inc.	347750410.2	2014.0	Consumer Services	Real Estate Investment Trusts	Small
FB Financial Corporation	1054033838.0	2016.0	Finance	Major Banks	Small
FBL Financial Group, Inc.	1691466439.0	1996.0	Finance	Life Insurance	Small
FCB Financial Holdings, Inc.	1895934906.0	2014.0	Finance	Major Banks	Small
Federal Agricultural Mortgage Corporation	703792988.7		Finance	Finance Companies	Small
Federal Realty Investment Trust	9143172628.0		Consumer Services	Real Estate Investment Trusts	Mid
Federal Signal Corporation	1110829084.0		Capital Goods	Auto Manufacturing	Small
Federated Investors, Inc.	2735224481.0	1998.0	Finance	Investment Managers	Mid
Federated Premier Intermediate Municipal Income Fund	76637985.48	2002.0	n/a	n/a	Micro
Federated Premier Municipal Income Fund	91053120.09	2002.0	n/a	n/a	Micro
FedEx Corporation	57348465030.0		Transportation	Air Freight/Delivery Services	Large
FelCor Lodging Trust Incorporated	999405056.7		Consumer Services	Real Estate Investment Trusts	Small
Ferrari N.V.	28128215428.0	2015.0	Capital Goods	Auto Manufacturing	Large
Ferrellgas Partners, L.P.	515880651.2	1994.0	Consumer Services	Other Specialty Stores	Small
Ferro Corporation	1603579857.0		Basic Industries	Paints/Coatings	Small
Fiat Chrysler Automobiles N.V.	28804292164.0	2014.0	Capital Goods	Auto Manufacturing	Large
Fibria Celulose S.A.	7284240595.0	1997.0	Basic Industries	Paper	Mid
Fidelity and Guaranty Life	1825761625.0	2013.0	Finance	Life Insurance	Small
Fidelity National Financial, Inc.	16100131847.0	2014.0	Finance	Specialty Insurers	Large
Fidelity National Financial, Inc.	5728321470.0	2014.0	Finance	Specialty Insurers	Mid
Fidelity National Information Services, Inc.	30711624228.0		Miscellaneous	Business Services	Large
Fiduciary/Claymore MLP Opportunity Fund	437120322.7	2004.0	n/a	n/a	Small
First Acceptance Corporation	47379832.1		Finance	Property-Casualty Insurers	Nano
First American Corporation (The)	5387693349.0		Finance	Specialty Insurers	Mid
First BanCorp.	1228992500.0		Finance	Major Banks	Small
First Cash, Inc.	2767758260.0	1991.0	Consumer Services	Other Specialty Stores	Mid
First Commonwealth Financial Corporation	1229210682.0		Finance	Major Banks	Small
First Data Corporation	16927495547.0	2015.0	Miscellaneous	Business Services	Large
First Horizon National Corporation	4055403766.0		Finance	Major Banks	Mid
First Industrial Realty Trust, Inc.	3661264597.0	1994.0	Consumer Services	Real Estate Investment Trusts	Mid
First Majestic Silver Corp.	1099214803.0		Basic Industries	Precious Metals	Small
First Potomac Realty Trust	653782154.6	2003.0	Consumer Services	Real Estate Investment Trusts	Small
FIRST REPUBLIC BANK	15261784963.0		n/a	n/a	Large
First Trust	296202022.1	2004.0	n/a	n/a	Micro
First Trust	60121151.05	2005.0	n/a	n/a	Micro
First Trust Dynamic Europe Equity Income Fund	317239426.3	2015.0	n/a	n/a	Small
First Trust Energy Infrastructure Fund	313973722.0	2011.0	n/a	n/a	Small
First Trust High Income Long Short Fund	507604311.2	2010.0	n/a	n/a	Small
First Trust Intermediate Duration Preferred & Income Fund	1496666506.0	2013.0	n/a	n/a	Small
First Trust MLP and Energy Income Fund	676129184.6	1984.0	n/a	n/a	Small
First Trust New Opportunities MLP & Energy Fund	296850053.8	2014.0	n/a	n/a	Micro
First Trust Senior Floating Rate 2022 Target Term Fund	348695455.2	2016.0	n/a	n/a	Small
First Trust Senior Floating Rate Income Fund II	355336830.4	2004.0	n/a	n/a	Small
First Trust Specialty Finance and Financial Opportunities Fund	99668261.15	2007.0	n/a	n/a	Micro
First Trust Strategic High Income Fund II	111687609.3		n/a	n/a	Micro
First Trust/Aberdeen Emerging Opportunity Fund	88875878.52		n/a	n/a	Micro
First Trust/Aberdeen Global Opportunity Income Fund	153331990.1	2006.0	n/a	n/a	Micro
FirstEnergy Corporation	14484325266.0		Public Utilities	Electric Utilities: Central	Large
Fitbit, Inc.	1390605461.0	2015.0	Technology	Computer Manufacturing	Small
Five Oaks Investment Corp.	91877920.7	2013.0	Consumer Services	Real Estate Investment Trusts	Micro
Five Point Holdings, LLC	898108530.9	2017.0	Finance	Real Estate	Small
Flagstar Bancorp, Inc.	1832030530.0		Finance	Savings Institutions	Small
Flaherty & Crumrine Dynamic Preferred and Income Fund Inc.	505395637.4	2013.0	n/a	n/a	Small
Flaherty & Crumrine Preferred Income Fund Incorporated	168163944.9	1991.0	n/a	n/a	Micro
Flaherty & Crumrine Preferred Income Opportunity Fund Inc	150654605.4	1992.0	n/a	n/a	Micro
Flaherty & Crumrine Preferred Securities Income Fund Inc	935993674.0	2003.0	n/a	n/a	Small
Flaherty & Crumrine Total Return Fund Inc	213601330.8	2003.0	n/a	n/a	Micro
FleetCor Technologies, Inc.	13154285505.0	2010.0	Miscellaneous	Business Services	Large
Floor & Decor Holdings, Inc.	3323326974.0	2017.0	Consumer Services	RETAIL: Building Materials	Mid
Flotek Industries, Inc.	292396872.0		Basic Industries	Major Chemicals	Micro
Flowers Foods, Inc.	3655156227.0		Consumer Non-Durables	Packaged Foods	Mid
Flowserve Corporation	5090942907.0		Capital Goods	Fluid Controls	Mid
